;V1;V2;;;;
1;-85,53281594;85,54081115;;;;
2;-82,25748866;83,054387;;;Risk;Profit
3;-79,46027537;79,57509421;;Mean;-140,309242;140,2262323
4;-81,39060263;81,38590624;;Varians;2088,634113;2167,062028
5;-78,90066383;78,23394325;;;;
6;-75,54572881;73,7424096;;;;
7;-72,40196936;77,98342837;;;;
8;-81,12434595;81,15035027;;;;
9;-106,6894959;105,9303693;;;;
10;-108,9636796;108,9434433;;;;
11;-106,9133707;106,8593841;;;;
12;-110,8618607;110,7936612;;;;
13;-109,8630651;109,8916472;;;;
14;-113,4582338;113,1119887;;;;
15;-118,1600891;118,1549246;;;;
16;-114,5414746;116,7192363;;;;
17;-120,6406807;111,6098594;;;;
18;-111,3761628;111,4773917;;;;
19;-110,2374198;110,1416582;;;;
20;-114,121828;114,4154368;;;;
21;-107,0555315;107,156554;;;;
22;-104,7970506;104,7704931;;;;
23;-105,6165097;105,5541339;;;;
24;-100,5096439;100,2916428;;;;
25;-117,2331829;117,2284616;;;;
26;-101,2501402;100,7084364;;;;
27;-101,047404;101,380074;;;;
28;-113,6255802;113,8278214;;;;
29;-99,20013431;99,18680243;;;;
30;-102,6474391;102,5276138;;;;
31;-107,6559971;107,6372781;;;;
32;-98,68117157;98,62023339;;;;
33;-99,86261268;99,87418183;;;;
34;-111,8709388;111,8609687;;;;
35;-95,3991898;95,32786297;;;;
36;-100,5445345;100,5118575;;;;
37;-106,6722536;106,6685279;;;;
38;-93,33529153;93,37065281;;;;
39;-109,2110198;109,6869019;;;;
40;-106,0393981;106,0353679;;;;
41;-93,54454258;93,55696878;;;;
42;-104,718184;104,4671929;;;;
43;-103,4159428;103,6656841;;;;
44;-90,34780266;90,37309396;;;;
45;-105,3567982;105,2650088;;;;
46;-100,2544525;100,0190581;;;;
47;-104,2535352;102,9029312;;;;
48;-102,3870657;102,3968586;;;;
49;-102,5966653;102,9337786;;;;
50;-104,236471;104,1348221;;;;
51;-117,272185;117,4494391;;;;
52;-116,8429135;117,1777444;;;;
53;-124,4457616;122,6010433;;;;
54;-121,1380057;121,1924679;;;;
55;-116,3950677;116,3699067;;;;
56;-117,2701518;116,1493338;;;;
57;-115,2763667;115,2942103;;;;
58;-109,1149636;109,1450161;;;;
59;-110,154232;110,1429296;;;;
60;-108,8096813;110,1224531;;;;
61;-105,0543989;105,0603668;;;;
62;-107,8283946;107,8237604;;;;
63;-116,4273227;116,4332941;;;;
64;-104,4717201;104,4873034;;;;
65;-105,732769;105,7463334;;;;
66;-113,9282281;112,5113335;;;;
67;-113,5968761;113,573386;;;;
68;-107,2422583;107,2660723;;;;
69;-110,9763187;110,9746428;;;;
70;-108,2127414;107,6772633;;;;
71;-101,0401652;101,272702;;;;
72;-106,1420595;106,1349502;;;;
73;-102,665264;102,6687412;;;;
74;-97,00228484;96,99930622;;;;
75;-121,8435641;121,838628;;;;
76;-121,7606055;121,7390513;;;;
77;-119,9218576;119,8871755;;;;
78;-119,266493;119,273448;;;;
79;-117,3492046;117,3464371;;;;
80;-112,8449703;112,8428573;;;;
81;-114,9203471;114,8358584;;;;
82;-112,9828767;112,9872399;;;;
83;-130,6797164;130,7004797;;;;
84;-110,2600385;109,9432567;;;;
85;-116,5446859;116,5408466;;;;
86;-124,2829568;124,3217305;;;;
87;-103,9104301;103,9050378;;;;
88;-107,2191194;107,9296188;;;;
89;-123,9903119;123,944103;;;;
90;-99,38694555;99,38222312;;;;
91;-101,8108715;101,5203784;;;;
92;-131,5190281;129,2773423;;;;
93;-100,5039712;100,3741264;;;;
94;-111,4348995;111,4772921;;;;
95;-124,9633543;124,9694765;;;;
96;-94,2582789;94,26566431;;;;
97;-115,2014284;115,1958764;;;;
98;-121,5831212;121,5473299;;;;
99;-89,25519175;89,42985531;;;;
100;-109,4875059;109,4830924;;;;
101;-116,3317168;116,3362727;;;;
102;-86,89999807;86,91606186;;;;
103;-104,9361499;104,9288051;;;;
104;-112,806675;112,8058246;;;;
105;-83,33851968;83,19943838;;;;
106;-102,5198101;102,485474;;;;
107;-92,03254555;109,2446886;;;;
108;-82,88279105;82,90164672;;;;
109;-101,5547674;101,2756919;;;;
110;-87,97495585;87,81205205;;;;
111;-89,15264598;89,27447689;;;;
112;-91,61033827;91,92601986;;;;
113;-84,12687971;84,23696014;;;;
114;-85,17197094;85,55084393;;;;
115;-88,47835138;88,15753471;;;;
116;-82,54576496;82,47850919;;;;
117;-81,69140899;83,27613129;;;;
118;-82,79123203;83,03394823;;;;
119;-79,90318585;80,58944778;;;;
120;-103,3380943;103,1806572;;;;
121;-88,01623024;87,8748289;;;;
122;-84,51563334;86,06319026;;;;
123;-88,66819298;88,95404617;;;;
124;-90,4542416;89,90138614;;;;
125;-84,35286669;83,85306109;;;;
126;-83,99658819;83,67111072;;;;
127;-86,42340604;86,42399597;;;;
128;-82,3598319;81,5119111;;;;
129;-80,92010839;81,36078578;;;;
130;-97,67531811;96,66534955;;;;
131;-81,78863532;80,48783133;;;;
132;-82,65644378;81,90939462;;;;
133;-89,10778029;88,97305723;;;;
134;-106,877534;106,6289925;;;;
135;-83,82371693;84,33215787;;;;
136;-103,077983;102,81726;;;;
137;-93,18162813;93,22699305;;;;
138;-84,359854;84,37267105;;;;
139;-92,04478806;91,05425146;;;;
140;-89,03732452;88,22084606;;;;
141;-79,54461769;81,72238146;;;;
142;-84,98829814;83,39343499;;;;
143;-85,45121027;84,59410113;;;;
144;-79,9136179;79,85638759;;;;
145;-91,7146006;91,68699021;;;;
146;-91,32314286;90,26016018;;;;
147;-88,72823599;88,59779898;;;;
148;-95,53556913;95,3039368;;;;
149;-92,80051269;93,51811086;;;;
150;-82,68965041;82,66695713;;;;
151;-87,82608931;88,29086365;;;;
152;-92,12430379;95,81086815;;;;
153;-200,5978844;104,5093174;;;;
154;-170,0783333;172,5361761;;;;
155;-158,7723678;158,7311692;;;;
156;-191,4497316;209,2306624;;;;
157;-158,0392517;162,7898753;;;;
158;-141,1012872;143,1052186;;;;
159;-199,620671;199,7692994;;;;
160;-213,0759535;213,1690732;;;;
161;-190,9921872;190,3992584;;;;
162;-193,1237299;192,4080311;;;;
163;-241,9279978;239,0209663;;;;
164;-217,0440101;217,4284472;;;;
165;-229,0471566;223,4367291;;;;
166;-265,9340687;265,8018477;;;;
167;-226,5336217;226,748919;;;;
168;-234,9916863;234,3791702;;;;
169;-255,2389291;262,7793106;;;;
170;-229,2727884;229,5449272;;;;
171;-261,0547573;260,8627836;;;;
172;-401,3023375;401,7935497;;;;
173;-348,8363853;346,5252504;;;;
174;-275,3754649;275,4626295;;;;
175;-345,2346001;364,5086211;;;;
176;-295,7460699;326,0034642;;;;
177;-234,2216802;234,2171516;;;;
178;-285,460921;286,0696188;;;;
179;-261,7590924;257,5808807;;;;
180;-207,4341809;207,7193461;;;;
181;-270,7135275;271,7743165;;;;
182;-232,1637195;231,9156856;;;;
183;-176,1438358;173,8937154;;;;
184;-263,2095107;244,4161588;;;;
185;-231,0127737;230,4855399;;;;
186;-188,1764612;187,9885997;;;;
187;-210,8360583;249,8255968;;;;
188;-216,8637199;216,8286258;;;;
189;-158,7696486;157,1303665;;;;
190;-202,7742453;203,1215219;;;;
191;-183,8118455;183,9793094;;;;
192;-172,3290573;173,1441204;;;;
193;-182,1080209;189,1325616;;;;
194;-160,157015;161,7570654;;;;
195;-153,0530264;152,914858;;;;
196;-178,3167956;178,2399879;;;;
197;-160,5837685;157,0651821;;;;
198;-133,6533703;134,0486991;;;;
199;-145,328089;144,8927529;;;;
200;-131,5145481;131,8075392;;;;
201;-116,0261817;118,7127136;;;;
202;-132,4613615;142,7379895;;;;
203;-132,2696878;132,3535629;;;;
204;-129,3232362;124,4166551;;;;
205;-156,3280684;156,0405154;;;;
206;-139,0261792;135,82852;;;;
207;-177,7972179;177,8522037;;;;
208;-172,2567137;179,86118;;;;
209;-150,6577321;136,5213033;;;;
210;-166,6642155;166,8760211;;;;
211;-167,5431786;157,8440169;;;;
212;-191,2521506;192,9317824;;;;
213;-236,4812685;218,4030808;;;;
214;-193,5877671;192,1453582;;;;
215;-166,2374053;166,2797662;;;;
216;-197,6828969;197,6297191;;;;
217;-206,0229073;206,0714691;;;;
218;-203,9951373;185,1179728;;;;
219;-194,4513332;190,215347;;;;
220;-195,2829195;197,2902781;;;;
221;-184,8785939;184,7286725;;;;
222;-195,722403;195,7334126;;;;
223;-242,229738;242,0910837;;;;
224;-191,8809009;216,0909499;;;;
225;-165,8230503;186,3625161;;;;
226;-206,7542659;206,5998931;;;;
227;-183,6557268;183,7352093;;;;
228;-144,0118476;143,775157;;;;
229;-181,875712;157,5641315;;;;
230;-156,9471267;149,6927467;;;;
231;-124,641661;124,4449909;;;;
232;-138,2590121;127,9906681;;;;
233;-126,6999834;117,0261528;;;;
234;-103,8788919;104,5629965;;;;
235;-117,9116081;118,26856;;;;
236;-96,41243197;101,9402476;;;;
237;-89,60118827;96,12347384;;;;
238;-93,81954362;111,4363061;;;;
239;-139,4243818;138,6697323;;;;
240;-122,808778;114,3126919;;;;
241;-101,9807352;101,9699339;;;;
242;-129,5277802;126,989795;;;;
243;-114,6522353;108,9835044;;;;
244;-103,4292523;103,3387451;;;;
245;-101,8834661;110,6054186;;;;
246;-101,5013197;99,39589017;;;;
247;-99,03950128;95,3363281;;;;
248;-116,9582078;109,8919233;;;;
249;-108,9116377;105,6316791;;;;
250;-97,77052519;102,7815894;;;;
251;-110,2495357;116,0212535;;;;
252;-111,6217264;111,5916729;;;;
253;-97,28795167;102,5632977;;;;
254;-102,9837843;103,1997267;;;;
255;-103,8580334;103,5659889;;;;
256;-126,3328306;126,9589109;;;;
257;-126,4306791;136,6504647;;;;
258;-113,1405824;103,2991993;;;;
259;-130,9851579;132,58968;;;;
260;-126,7299872;126,9066461;;;;
261;-117,0623909;107,8868992;;;;
262;-121,5882814;120,9017954;;;;
263;-133,8342186;154,2807743;;;;
264;-123,252667;117,5020016;;;;
265;-111,9332199;111,6549407;;;;
266;-156,6517766;162,494922;;;;
267;-131,3496312;142,9059465;;;;
268;-135,882449;135,9150934;;;;
269;-187,4310745;172,8703184;;;;
270;-154,8031244;143,1691673;;;;
271;-145,0560345;113,509667;;;;
272;-169,640705;151,6281416;;;;
273;-167,1850698;163,9673499;;;;
274;-141,0508894;157,8302655;;;;
275;-140,7851985;148,031813;;;;
276;-172,6551959;155,1344021;;;;
277;-147,8517708;147,6198887;;;;
278;-129,0875643;135,4975356;;;;
279;-132,9526723;131,4996445;;;;
280;-140,5086449;133,6410399;;;;
281;-164,6811816;167,1765148;;;;
282;-164,4334053;156,9435823;;;;
283;-178,5927553;171,4449083;;;;
284;-188,341478;188,274091;;;;
285;-143,591027;173,508669;;;;
286;-160,3531889;160,0661963;;;;
287;-167,7439711;163,7560226;;;;
288;-126,6124882;126,1958077;;;;
289;-143,1896788;140,907901;;;;
290;-145,3030523;145,4144822;;;;
291;-121,3953093;120,1629761;;;;
292;-148,7717203;141,786179;;;;
293;-146,2025257;146,4969028;;;;
294;-114,3719911;113,4409762;;;;
295;-133,6716214;133,3498384;;;;
296;-151,8471162;154,3126444;;;;
297;-124,3372602;131,5672108;;;;
298;-130,1109315;129,7501807;;;;
299;-135,8076935;129,0661521;;;;
300;-116,3350705;117,1124978;;;;
301;-117,6846056;117,0826556;;;;
302;-118,0066126;117,964576;;;;
303;-110,4436383;110,0485575;;;;
304;-122,722354;122,9988583;;;;
305;-128,23682;128,0612722;;;;
306;-116,0721768;111,1300259;;;;
307;-115,8836955;116,2793758;;;;
308;-115,5715621;115,2186755;;;;
309;-102,9764647;104,2800481;;;;
310;-104,5930104;105,0644377;;;;
311;-110,0590631;107,1214242;;;;
312;-98,49790329;99,6371379;;;;
313;-103,2349248;103,2440962;;;;
314;-103,123409;103,6439773;;;;
315;-94,78228677;93,62211145;;;;
316;-97,14649203;97,70922262;;;;
317;-113,6058753;113,8048475;;;;
318;-171,6126703;171,6270871;;;;
319;-140,0315514;140,1195332;;;;
320;-170,3808979;170,2400074;;;;
321;-288,3142445;288,1021706;;;;
322;-223,6584463;223,759883;;;;
323;-188,2630364;188,1851655;;;;
324;-229,1192251;228,1519771;;;;
325;-185,3120536;181,1540957;;;;
326;-152,281957;152,8894436;;;;
327;-177,7206745;166,1141413;;;;
328;-144,7730845;144,8352172;;;;
329;-123,9744668;123,4682767;;;;
330;-148,5997599;149,0809449;;;;
331;-155,5510577;154,7271329;;;;
332;-159,6427565;159,9352162;;;;
333;-139,4970876;138,4810343;;;;
334;-128,0586571;127,8324021;;;;
335;-198,9878652;198,7497365;;;;
336;-191,1219222;191,33181;;;;
337;-135,7842197;135,8131906;;;;
338;-190,0075322;190,3027123;;;;
339;-188,5636163;189,3278814;;;;
340;-158,0928301;158,2872144;;;;
341;-165,0035062;165,2777762;;;;
342;-152,5469061;153,4291768;;;;
343;-140,4644051;140,243444;;;;
344;-136,6073053;136,588066;;;;
345;-124,2224756;124,4656599;;;;
346;-121,0971448;121,6047481;;;;
347;-116,0811234;116,7131765;;;;
