"","pval1","pval2","pval3","pval4"
"1",1.8412637499596e-44,6.57581698939255e-67,3.30597952185351e-65,1.17172119502345e-65
"2",1.88245755777728e-44,6.28077087257372e-67,3.70848546157794e-65,1.16060964681332e-65
"3",9.79228388520391e-45,3.61915920187756e-67,1.21125044283012e-64,4.78897107115471e-65
"4",9.35109268840363e-44,3.08887902314154e-68,5.58509686414722e-65,1.01244458743479e-65
"5",6.75864539568272e-44,3.37417135646996e-68,3.91322306105527e-65,2.52899333900927e-66
"6",7.15283706545912e-44,2.89151728474363e-68,4.80850346844131e-65,2.8650327675534e-66
"7",4.55928306127384e-44,2.47596803814126e-68,3.08315497431892e-65,2.3450355917069e-66
"8",4.00704445622941e-45,4.40914473627977e-69,3.90137840934778e-65,7.69134718823462e-66
"9",3.3312862524068e-45,7.16957751023819e-69,3.18358500094657e-65,7.07295867856338e-66
"10",3.94640752998568e-45,5.89601157708782e-69,3.0201918914227e-65,5.48301178021387e-66
"11",2.31838843762191e-45,9.57500095142297e-69,1.74498112984095e-65,3.45669287682355e-66
"12",2.45761535742387e-45,1.40391516876461e-68,1.54529874298355e-65,5.04348689594439e-66
"13",1.0102627064129e-45,1.48525912033613e-68,7.81614292136824e-66,4.98558864856303e-66
"14",1.89193503756481e-45,9.03364103609188e-69,1.05865663505397e-65,3.04831243324324e-66
"15",1.58356326196806e-45,8.63253286781161e-69,8.59051499779879e-66,2.25061695919569e-66
"16",2.32511868795524e-45,1.56095370902296e-68,1.28703086663166e-65,2.36257955586748e-66
"17",1.5395200746583e-45,1.03627132351536e-66,1.36791936137812e-65,2.52599344067151e-65
"18",2.90537238002876e-45,8.39395873244246e-67,8.93538914185333e-66,2.46413010836558e-65
"19",3.17195853264234e-45,1.14260399270045e-66,7.30350956946404e-66,2.23427463026544e-65
"20",4.12357088821046e-45,4.52336338395005e-66,8.66690585443138e-66,1.57386278167329e-65
"21",5.02185671454195e-45,1.70359076667421e-66,5.60234643094279e-66,8.74157007812411e-66
"22",5.08635616525991e-45,4.78551853045343e-66,6.94957929631353e-66,3.481832568111e-65
"23",7.88504598190264e-45,2.40185768547447e-66,6.24779003552504e-66,2.68880353256374e-65
"24",1.0623226517881e-45,3.28451284962554e-66,3.68842282169993e-66,1.33197524555691e-65
"25",1.08189525244805e-45,4.3449862102625e-66,2.30659103158636e-66,9.76852449841735e-66
"26",3.79718821664702e-46,3.60891698502004e-66,1.05050847645169e-66,4.19571214639568e-66
"27",6.87158472992542e-47,2.97588960101882e-67,8.91263192590112e-68,4.37976241349316e-66
"28",8.96434268224321e-47,5.74150042110413e-66,1.26803619120936e-67,5.66696494527202e-66
"29",2.14568770764353e-47,1.59498084673671e-66,3.04838313566111e-68,1.56917774436041e-66
"30",4.81971321447827e-49,2.93816472449838e-67,3.4644576848236e-69,1.92232660881921e-65
"31",8.85043359945481e-50,4.65199541827664e-68,4.77743908059697e-70,2.05119184442654e-65
"32",1.25095823370569e-49,9.08003793642023e-68,9.98794247388729e-70,3.34105219452328e-65
"33",4.53639694242784e-51,9.46988210921608e-69,7.54989009567923e-71,2.17787669252677e-66
"34",9.05984306802182e-58,7.93173356567981e-72,1.12429032612816e-75,6.7488808479549e-71
"35",1.31532310167857e-57,1.307344808671e-72,7.83208407048297e-76,3.76624001682282e-70
"36",8.98144519893576e-58,2.67054734293756e-72,1.56683939881178e-80,1.83637208212391e-70
"37",5.55993943070749e-61,8.213315954354e-76,1.6663569851488e-82,3.77222892440041e-73
"38",5.81510283968691e-61,1.90182344606171e-75,3.38812672213652e-82,3.01126907067564e-73
"39",8.20876023572494e-59,1.89412079872509e-77,2.9651472359858e-79,1.3949528476885e-72
"40",5.79623859612871e-62,1.09576530609117e-79,2.18737293254018e-82,2.45335315822007e-73
"41",1.35339840987932e-62,2.96925438022374e-80,3.29788013091891e-83,3.96249655313539e-74
"42",1.15629386955757e-65,4.31700562270333e-82,1.31900567055319e-84,1.63251744874518e-74
"43",6.08681985587339e-66,2.21850062629414e-79,8.58705087753089e-81,2.56028899568672e-72
"44",3.27534557784897e-68,6.96783380286694e-81,5.62290710451122e-82,1.80622979769204e-72
"45",1.49958134941931e-67,1.21526160204553e-80,3.79584853282085e-82,1.00631001096632e-72
"46",2.29879498668792e-76,2.27209169318024e-88,2.372755639984e-85,9.96705426271125e-73
"47",2.40151794500634e-78,1.51945036955226e-90,3.02426655039153e-87,3.81892727879004e-74
"48",2.29678475019856e-77,3.78906221152797e-91,8.05864317058068e-88,2.19778774223213e-74
"49",5.72665729805866e-77,1.71010408222968e-90,1.68854842518115e-87,2.85770945500107e-74
"50",7.10291110540588e-77,1.45495231790519e-90,3.00323722681983e-87,7.80998290798394e-75
"51",4.40139641298545e-76,4.5669961966053e-90,3.28908383660133e-87,5.39951556961095e-75
"52",2.53268694018448e-76,8.69543335366548e-90,9.33992052795058e-88,7.66248816502532e-76
"53",5.78461580585243e-78,4.33450462087234e-90,2.29289693971907e-87,2.1296933832126e-76
"54",5.17050219764149e-78,3.72328175054797e-90,2.11567926642268e-87,1.50362140040402e-76
"55",3.54986046321991e-77,2.59472186873126e-91,8.47637771654686e-89,2.52636273409507e-77
"56",4.90707535831825e-77,1.02002857713465e-91,1.03423617234097e-88,2.08931172295451e-77
"57",4.24509924282971e-77,1.45292250787914e-91,1.62928274540655e-88,1.59781803425554e-77
"58",3.72377259564141e-77,7.63807325817929e-92,2.13936526204023e-88,9.60361806686608e-78
"59",1.17448094543137e-77,4.53430241008872e-92,6.10919607707445e-89,4.47749236844344e-77
"60",6.32139197554121e-79,7.87375019478292e-93,3.27099563397382e-89,4.86675076498395e-79
"61",7.68838697504592e-80,5.58389866973001e-94,2.18244223016796e-89,3.97059684159058e-79
